Customer_ID,Customer_Name,Gender,Age,Account_Type,Balance,Branch,Credit_Score,Loan_Status,Monthly_Income,Transaction_Count_Last_Month,Last_Login
fb8e54b1-8c25-471b-8ecc-29ab243d65e1,Cynthia Parker,Other,56,Recurring,266776.02,Kolkata,540,Approved,193549.03,90,09-03-2025
31f28e2e-815b-413a-a396-64dc86fa3d31,Lauren Ruiz MD,Male,69,Current,121992.78,Bangalore,391,Approved,154597.18,22,19-02-2025
cedfa6cd-d723-49bd-bfdd-f5cb587b0af9,Vincent Nelson,Male,46,Recurring,135352.37,Hyderabad,895,Approved,190646.81,45,29-09-2024
09ed4a93-a3e2-41aa-b857-22323a9488a2,April Stone,O,32,Recurring,189264.8,Hyderabad,856,Pending,143482.7,71,30-03-2025
ecd9b768-9dd8-46a8-ba65-d37eb922713f,Connie Collins,F,60,Recurring,11015.53,Kolkata,624,Rejected,66629.92,7,23-01-2025
b242c77d-ebf9-4767-af00-75997fe9627b,Susan Miller,Male,25,Fixed Deposit,161717.5,Chennai,805,Rejected,30019.34,58,19-10-2024
4691dfc3-6d2b-47a2-9af8-f4cb374fed7e,Jamie Thomas,Male,38,Recurring,106512.56,Bangalore,613,Not Applied,158546.53,89,16-04-2025
9f85158b-594a-43ff-ac0e-0c9fc57d5d3b,Robin Lopez,Male,56,Fixed Deposit,164421.18,Delhi,674,Pending,132388.35,58,02-02-2025
72de3b9b-c622-4e85-b000-ca4a789c1b01,Kim Moore,Other,36,Savings,60761.3,Delhi,353,Not Applied,19155.34,12,04-08-2024
039eb7d1-b0b9-4015-9100-7b5435ae96e2,Christopher Garrett,Male,40,Savings,445373.11,Kolkata,753,Not Applied,78409.59,38,06-07-2024
9781fb40-6ad7-4e51-a9f6-9d03484055a0,Amber Buchanan,Other,28,Current,297202.63,Mumbai,377,Rejected,191791.96,27,13-01-2025
9d4b6bfb-aeb4-439d-9d6e-dd1213f98195,James Smith,Other,28,Current,339872.06,Chennai,796,Pending,105076.22,88,18-05-2025
